publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_url,first_author,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name
"Acta Materialia","1359-6454","",1996-01-01,44,1,2013-12-31,61,9,"http://www.sciencedirect.com/science/journal/13596454",,"","","","Previously part of:Acta Metallurgica et Materialia Incorporating:Nanostructured Materials ",""
"Acta Mathematica Scientia","0252-9602","",2006-01-01,26,1,2013-12-31,,,"http://www.sciencedirect.com/science/journal/02529602",,"","","","",""
"Acta Mechanica Solida Sinica","0894-9166","",2006-03-01,19,1,2013-12-31,,,"http://www.sciencedirect.com/science/journal/08949166",,"","","","",""
"Acta Metallurgica","0001-6160","",1953-01-01,1,1,1989-12-01,37,12,"http://www.sciencedirect.com/science/journal/00016160",,"","","","Now:Acta Metallurgica et Materialia ",""
"Acta Metallurgica et Materialia","0956-7151","",1990-01-01,38,1,1995-12-01,43,12,"http://www.sciencedirect.com/science/journal/09567151",,"","","","Previously:Acta Metallurgica Now:Acta Materialia ",""
"Acta Metallurgica Sinica (English Letters)","1006-7191","",2006-02-01,19,1,2009-12-01,22,6,"http://www.sciencedirect.com/science/journal/10067191",,"","","","Transfer out:the Chinese Society for Metals 2010  ",""
"Acta Oecologica","1146-609X","",1997-01-01,18,1,2013-12-31,,,"http://www.sciencedirect.com/science/journal/1146609X",,"","","","",""
"Acta Otorrinolaringológica Española","0001-6519","",2001-01-01,52,1,2013-12-31,,,"http://www.sciencedirect.com/science/journal/00016519",,"","","","",""
"Acta Otorrinolaringologica (English Edition)","2173-5735","",2007-01-01,58,1,2013-12-31,,,"http://www.sciencedirect.com/science/journal/21735735",,"","","","",""
"Acta Pharmaceutica Sinica B","2211-3835","",2011-06-01,1,1,2013-12-31,,,"http://www.sciencedirect.com/science/journal/22113835",,"","","","",""
"Acta Physico-Chimica Sinica","1872-1508","",2006-03-01,22,3,2008-12-01,24,12,"http://www.sciencedirect.com/science/journal/18721508",,"","","","Transfer out:the Chinese Chemical Society 2009  ",""
"Acta Psychologica","0001-6918","",1936-01-01,1,,2013-12-31,,,"http://www.sciencedirect.com/science/journal/00016918",,"","","","",""
"Acta Tropica","0001-706X","",1989-01-01,46,1,2013-12-31,,,"http://www.sciencedirect.com/science/journal/0001706X",,"","","","",""
"Actas Dermo-Sifiliográficas","0001-7310","",2001-10-01,92,1,2013-12-31,,,"http://www.sciencedirect.com/science/journal/00017310",,"","","","",""
"Actas Dermo-Sifiliográficas (English Edition)","1578-2190","",2007-01-01,98,1,2013-12-31,,,"http://www.sciencedirect.com/science/journal/15782190",,"","","","",""
"Actas Urológicas Españolas","0210-4806","",1999-01-01,23,10,2013-12-31,,,"http://www.sciencedirect.com/science/journal/02104806",,"","","","",""
"Actas Urológicas Españolas (English Edition)","2173-5786","",2010-01-01,34,1,2013-12-31,,,"http://www.sciencedirect.com/science/journal/21735786",,"","","","",""
"Actividad Dietética","1138-0322","",2008-01-01,12,1,2010-10-31,14,4,"http://www.sciencedirect.com/science/journal/11380322",,"","","","Now:Revista Española de Nutrición Humana y Dietética ",""
"Actualités Pharmaceutiques","0515-3700","",2008-01-01,47,470,2013-12-31,,,"http://www.sciencedirect.com/science/journal/05153700",,"","","","",""
