publication_title,print_identifier,online_identifier,date_first_issue_online,num_first_vol_online,num_first_issue_online,date_last_issue_online,num_last_vol_online,num_last_issue_online,title_url,first_author,title_id,embargo_info,coverage_depth,coverage_notes,publisher_name
"Language Dynamics and Change ","2210-5824","2210-5832",2011-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/22105832",,"","","full text","","Brill"
"Logos ","0957-9656","1878-4712",1990-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/18784712",,"","","full text","","Brill"
"Medieval Encounters","1380-7854","1570-0674",1995-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/15700674",,"","","full text","","Brill"
"Method & Theory in the Study of Religion","0943-3058","1570-0682",1989-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/15700682",,"","","full text","","Brill"
"Middle East Journal of Culture and Communication ","1873-9857","1873-9865",2008-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/18739865",,"","","full text","","Brill"
"Middle East Law and Governance","1876-3367","1876-3375",2009-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/18763375",,"","","full text","","Brill"
"Mission Studies","0168-9789","1573-3831",1984-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/15733831",,"","","full text","","Brill"
"Mnemosyne","0026-7074","1568-525X",1948-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/1568525x",,"","","full text","","Brill"
"Muqarnas ","","2211-8993",,,,,,,"http://booksandjournals.brillonline.com/content/22118993",,"","","full text","no online content yet available. New in 2012","Brill"
"NAN NÜ","1387-6805","1568-5268",1999-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/15685268",,"","","full text","","Brill"
"Nematology","1388-5545","1568-5411",1999-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/15685411",,"","","full text","","Brill"
"Nordic Journal of International Law ","0902-7351","1571-8107",1947-01-01,18,1,,,,"http://booksandjournals.brillonline.com/content/15718107",,"","","full text","","Brill"
"Novum Testamentum","0048-1009","1568-5365",1957-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/15685365",,"","","full text","","Brill"
"Numen","0029-5973","1568-5276",1954-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/15685276",,"","","full text","","Brill"
"Nuncius ","0394-7394","1825-3911",1986-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/18253911",,"","","full text","","Brill"
"Ocean Yearbook Online  ","","2211-6001",1978-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/22116001",,"","","full text","","Brill"
"Oriens","0078-6527","1877-8372",2009-01-01,37,1,,,,"http://booksandjournals.brillonline.com/content/18778372",,"","","fulltext","content back to 2000 no yet available","Brill"
"Oud Holland - Quarterly for Dutch Art History ","0030-672X","1875-0176",1883-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/18750176",,"","","fulltext","2000 vol no digitised","Brill"
"Phronesis","0031-8868","1568-5284",1955-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/15685284",,"","","fulltext","","Brill"
"Pneuma","0272-0965","1570-0747",1979-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/15700747",,"","","fulltext","","Brill"
"Quaerendo","0014-9527","1570-0690",1971-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/15700690",,"","","fulltext","","Brill"
"Religion and Human Rights ","1871-031X","1871-0328",2006-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/18710328",,"","","fulltext","","Brill"
"Religion and the Arts ","1079-9265","1568-5292",1996-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/15685292",,"","","full text","","Brill"
"Religion and Theology","1023-0807","1574-3012",1994-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/15743012",,"","","full text","","Brill"
"Research in Phenomenology","0085-5553","1569-1640",1971-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/15691640",,"","","full text","","Brill"
"Review of Central and East European Law ","0925-9880","1573-0352",1992-01-01,18,1,,,,"http://booksandjournals.brillonline.com/content/15730352",,"","","full text","","Brill"
"Review of Rabbinic Judaism","1568-4857","1570-0704",1998-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/15700704",,"","","full text","","Brill"
"Russian History ","0094-288X","1876-3316",1974-01-01,1,1,,,,"http://booksandjournals.brillonline.com/content/18763316",,"","","full text","","Brill"
"Security and Human Rights ","1874-7337","1875-0230",2008-01-01,19,1,,,,"http://booksandjournals.brillonline.com/content/18750230",,"","","full text","formerly Helsinki Monitor","Brill"
"Social Sciences and Missions ","1874-8937","1874-8945",2007-01-01,20,1,,,,"http://booksandjournals.brillonline.com/content/18748945",,"","","full text","formerly Le Fait Missionnaire","Brill"
